gene,average,median,max,min,growth_correlation
b3803,7.416480858770524,7.40903401703557,8.319790453557,6.4341865276698,-0.08168006608300507
b3804,6.786128361993617,6.75949742139727,7.71693971127641,5.86945738699507,-0.20758620978513548
b3805,8.072867356990205,8.09023172602281,8.99500128541322,7.16889213780684,-0.06488778886580415
b3806,8.351866620785415,8.49322287968986,9.44920208841926,6.62945750040538,0.12819557815636012
b3807,6.188064536277579,6.24402004739909,7.47630422339788,3.96505924951412,-0.008012440986144745
b3809,6.855841971579787,6.82828517170776,8.38087488737278,5.90787779847676,0.23043418603468885
b3810,6.65953625441561,6.65490944329524,8.17440384883317,5.75858575571696,0.019085189293386443
b3811,6.994870095005728,7.05368960238667,8.22236995993537,5.71018542808333,-0.06935189624972246
b3812,6.669336504491143,6.74131190218941,7.68393059563619,4.91714382198315,0.002860923662298211
b3813,7.0893401199808155,7.02072556680127,8.10647596522451,6.35983127805848,0.24573456343285502
b3816,7.101471554100172,7.15676986550712,8.18554967819359,5.45957528529122,0.02501801234996758
b3817,2.330101400256345,2.45095066339703,4.39624358790985,0.0,0.1434693053452481
b3819,4.8923376368495886,4.97449802787811,6.82281741519675,2.97747278096975,0.14768417159661845
b3820,6.011236239204771,6.61298360555053,7.63805358315799,1.96473067209997,-0.3305502853126659
b3821,6.740088472940757,6.79332442211859,7.62744657677894,5.43319156474179,0.2572570841797125
b3822,6.287668150794873,6.45657366503706,7.33588332133616,4.49471743860996,0.028766888818311343
b3823,6.27797250440119,6.25469203598613,7.8838302663145,4.95996891235096,-0.30615013046351064
b3824,6.03822595081247,6.02164082603691,7.78083515630068,2.4693481029229,0.1157039600911553
b3825,7.097873775159664,7.11159013581883,7.98371255253475,6.18032708921445,0.11903668113212264
b3826,6.534538802445627,6.58805984030247,7.38497745936295,5.46672405195781,-0.19012159232314813
b3827,4.792917027369088,4.81780995313062,7.04765569239679,2.51073528506729,-0.2355880217731726
b3828,6.400040758833033,6.64397287812458,10.7112722050577,2.57637825307629,-0.3344382666592413
b3829,11.850536992222485,12.5060672397212,14.0322211988967,5.57167698471965,0.3251762001836486
b3830,7.1003674216196035,7.16412166181507,9.26200779067771,4.49230668504144,-0.5762431172820514
b3831,8.437328436662385,8.25191685426687,10.7308588380327,6.88715104505669,0.14808177970689732
b3832,4.965043242823456,4.86954455984164,6.81062778514534,3.8341100379831,-0.12841466833957502
b3833,8.235039887931809,8.25319568321923,9.03221684704433,7.40466659211724,0.32515185682995806
b3834,7.11369729045053,7.05604262434573,8.10981577361767,6.31438573877906,0.21423310454997258
b3835,6.3171208029699795,6.31175873804715,7.11254767020925,5.47638909866322,0.057578986722047976
b3836,8.751175752717028,8.73928876078961,9.83822714781576,7.17205613789558,0.04807116829491269
b3838,8.509751570410756,8.44596305685402,9.60736266187081,7.49522141718679,0.31800302529616836
b3839,7.380000130100015,7.48236546872631,8.36819947087908,5.97581108898249,0.15463246026429087
b3842,5.901865467227255,5.91167249151103,7.00239398513378,4.58058873961492,-0.23039477298585653
b3843,8.106987290790789,8.09927229306548,8.96585749489508,7.23592590808216,-0.07952741809236982
b3844,7.923083188863132,7.9366319739017,8.95748195163956,7.12681783530244,-0.24010313427910918
b3845,5.041261554951739,4.61908652518293,8.93825875446287,1.92725629344926,-0.5867976999178801
b3846,5.140968590544565,4.84551707891318,9.66070184435896,1.30358338581024,-0.560373569090454
b3847,8.302612301214932,8.25450654137944,9.93758446252106,7.38928974049897,0.3187356443215219
b3848,6.30818932341474,6.27686881452853,7.92382234621365,5.10291886369871,0.09874475702007636
b3849,6.228617233103489,6.23350841786046,6.91025203097929,5.76954881334042,-0.166818047597386
b3850,6.555642623796982,6.60137825361029,7.40890572430856,5.66967321122524,-0.011844780381427519
b3856,4.529669590142914,4.60757189483975,5.52745080428945,2.74531501169652,0.043809922191748896
b3857,5.48650030234032,5.48508583009885,6.92689707276096,4.20727948651372,0.07096087600793556
b3858,6.516293792133151,6.56289229232085,8.89562674387576,3.7821247940092,0.18047582822509975
b3859,7.253663444654945,7.27247642704121,8.53189731581705,6.36120120032414,0.052762480313276065
b3860,9.254359361063898,9.28676449666685,10.3284168109645,7.63391570992096,0.22546930108913651
b3861,2.238969031455763,2.2529752982717,4.01563244900383,0.827458630358621,0.12466463266391267
b3862,4.532034643039757,4.56483039317912,6.10533649581399,1.968269949415,-0.08701937499246437
b3863,7.266215420533683,7.28296052135073,8.00391784066396,6.24176995526612,0.38085640531783416
b3865,7.368001549651031,7.36842473480953,8.57724956359433,6.08685262762244,0.3840372702000653
b3866,7.744061636658128,7.73324933986051,8.81177985095737,6.59583181237614,-0.22870001188606723
b3867,7.091852938680744,7.08543178715529,7.94257486650277,6.01999206831608,0.334542595317915
b3868,6.278464454211022,6.15825712007805,9.09892253479641,5.08396460542069,0.4066580418151735
b3869,6.379998370039877,6.29390552821962,8.89026124160973,5.00338457412027,0.4751973337345593
b3870,10.219781605745665,10.209870666349,12.6267946062638,7.82152613088327,0.32491421932964565
b3871,9.980366390298263,10.0894112415213,11.5885752115619,7.90769378459888,0.25684208795965463
b3872,3.7699091105469367,3.77225699243304,5.25387615571136,0.0,-0.03615683547436933
b3873,4.329829404536776,4.30916048729326,6.05241155869841,1.59830077249502,-0.3422246622182596
b3874,2.59493418291783,2.63182895254977,4.51160988566242,0.907218569251158,-0.26582710388610253
